key_size_bits,algorithm,time_ms_mean,time_ms_std
8,lsa_v2,49.84214895976571,1.6718957050928318
8,lsa_legacy,47.06288732527309,1.7555817353954672
8,spn,66.13321058063651,2.5818138731534623
8,feistel,58.577432668297035,3.2322332888656375
16,lsa_v2,48.87426512279286,2.1146163022407785
16,lsa_legacy,50.4986035696444,1.6732240591943943
16,spn,68.69824159176119,2.870982736803761
16,feistel,60.8544048244446,3.9198362348613327
32,lsa_v2,51.25869095169497,1.7888561406801018
32,lsa_legacy,51.61210237836987,1.6094559959093468
32,spn,72.32078923779895,2.9818126047679767
32,feistel,64.44119668771442,3.638707760731046
64,lsa_v2,54.1887953713849,2.9631945809066167
64,lsa_legacy,55.17037022667142,2.6601187502647203
64,spn,79.76599115750845,3.7217821147126386
64,feistel,70.5364620219649,2.8469235033576927
128,lsa_v2,60.97386063379192,2.7710661768213587
128,lsa_legacy,65.14708732850065,3.300381623521761
128,spn,93.91196271356823,3.6118413979276043
128,feistel,81.22995571348193,2.7414300676951653
256,lsa_v2,74.209151220889,4.745426604786728
256,lsa_legacy,80.93696636472212,2.521020740018885
256,spn,124.43049106580341,7.751211919697729
256,feistel,106.0052391347713,5.6354381810107
